Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MWh,Low price $/MWh,Wtd avg price $/MWh,Change,Daily volume MWh,Number of trades,Number of counterparties
Palo Verde Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,23,20,21.25,-7.83,6800,17,13
SP15 EZ Gen DA LMP Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,36,35,35.67,-3.62,2400,6,5
Nepool MH DA LMP Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,24,24,24,-1.75,8800,11,5
Mid C Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,32.75,28,29.24,-0.06,20800,52,16
PJM WH Real Time Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,23.5,23,23.33,2.33,2400,3,6
PJM WH Real Time Peak,1/2/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,22,21.5,21.55,-1.78,12000,15,13
Mid C Peak,1/2/2020 0:00,1/3/2020 0:00,1/4/2020 0:00,24.5,23.5,23.92,-5.32,24800,31,16
Nepool MH DA LMP Peak,1/2/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,26.75,26.5,26.63,2.63,1600,2,4
SP15 EZ Gen DA LMP Peak,1/2/2020 0:00,1/3/2020 0:00,1/4/2020 0:00,32.25,32,32.02,-3.65,12000,13,8
Palo Verde Peak,1/2/2020 0:00,1/3/2020 0:00,1/4/2020 0:00,21,20.5,20.79,-0.46,15200,19,9
Mid C Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,32,29,30.95,7.03,16000,40,17
PJM WH Real Time Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,26,26,26,4.45,800,1,2
Palo Verde Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,21,20,20.35,-0.44,6800,17,10
SP15 EZ Gen DA LMP Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,36.5,34.25,34.77,2.75,16000,35,17
Mid C Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,28,25.25,26.22,-4.73,17600,44,19
Palo Verde Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,20,15,16.4,-3.95,9600,24,14
SP15 EZ Gen DA LMP Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,40,39,39.71,4.94,2800,7,7
PJM WH Real Time Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,27.05,26.75,26.92,0.92,12000,14,14
Nepool MH DA LMP Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,33,30,30.62,3.99,25600,31,17
Mid C Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,30.5,21,24.44,-1.78,26400,66,24
Palo Verde Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,19,16.5,17.47,1.07,10800,26,11
SP15 EZ Gen DA LMP Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,34,33,33.47,-6.24,21600,45,16
Nepool MH DA LMP Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,32.25,28,28.78,-1.84,46400,55,23
Mid C Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,35,32.5,34.07,9.63,30400,71,17
PJM WH Real Time Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,26,25.75,25.87,-1.05,10400,13,12
Palo Verde Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,20,17.25,18.58,1.11,11200,26,15
SP15 EZ Gen DA LMP Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,39,38,38.34,4.87,18000,30,14
Palo Verde Peak,1/9/2020 0:00,1/10/2020 0:00,1/11/2020 0:00,21,19,20.14,1.56,20000,25,12
PJM WH Real Time Peak,1/9/2020 0:00,1/10/2020 0:00,1/10/2020 0:00,22,21.75,21.81,-4.06,7200,9,10
SP15 EZ Gen DA LMP Peak,1/9/2020 0:00,1/10/2020 0:00,1/11/2020 0:00,36,35.5,35.95,-2.39,8800,11,7
Mid C Peak,1/9/2020 0:00,1/10/2020 0:00,1/11/2020 0:00,31.25,27.25,28.18,-5.89,29600,36,11
Nepool MH DA LMP Peak,1/9/2020 0:00,1/10/2020 0:00,1/10/2020 0:00,21.5,20,21.18,-7.6,59200,58,15
Nepool MH DA LMP Peak,1/10/2020 0:00,1/13/2020 0:00,1/13/2020 0:00,25,25,25,3.82,800,1,2
Mid C Peak,1/10/2020 0:00,1/13/2020 0:00,1/13/2020 0:00,40,37.5,38.74,10.56,23600,59,18
Palo Verde Peak,1/10/2020 0:00,1/13/2020 0:00,1/13/2020 0:00,25,22,23.47,3.33,7600,19,11
PJM WH Real Time Peak,1/10/2020 0:00,1/13/2020 0:00,1/13/2020 0:00,22,21.5,21.77,-0.04,15200,19,12
SP15 EZ Gen DA LMP Peak,1/10/2020 0:00,1/13/2020 0:00,1/13/2020 0:00,47,44.25,45.03,9.08,17200,41,19
Mid C Peak,1/13/2020 0:00,1/14/2020 0:00,1/14/2020 0:00,35,33,33.65,-5.09,15200,38,16
PJM WH Real Time Peak,1/13/2020 0:00,1/14/2020 0:00,1/14/2020 0:00,24.25,23.5,23.91,2.14,18400,23,19
Palo Verde Peak,1/13/2020 0:00,1/14/2020 0:00,1/14/2020 0:00,25,20,22.69,-0.78,9600,24,15
SP15 EZ Gen DA LMP Peak,1/13/2020 0:00,1/14/2020 0:00,1/14/2020 0:00,45,40.6,42.33,-2.7,15200,32,15
Nepool MH DA LMP Peak,1/13/2020 0:00,1/14/2020 0:00,1/14/2020 0:00,28.5,26.75,27.43,2.43,9600,12,10
PJM WH Real Time Peak,1/14/2020 0:00,1/15/2020 0:00,1/15/2020 0:00,22.25,22,22.04,-1.87,4800,6,7
Palo Verde Peak,1/14/2020 0:00,1/15/2020 0:00,1/15/2020 0:00,22,20,21.11,-1.58,8400,21,12
SP15 EZ Gen DA LMP Peak,1/14/2020 0:00,1/15/2020 0:00,1/15/2020 0:00,44.5,41.5,43.59,1.26,30400,66,19
Mid C Peak,1/14/2020 0:00,1/15/2020 0:00,1/15/2020 0:00,38,33,34.69,1.04,18000,44,17
Palo Verde Peak,1/15/2020 0:00,1/16/2020 0:00,1/17/2020 0:00,22,18.5,19.78,-1.33,15200,19,11
SP15 EZ Gen DA LMP Peak,1/15/2020 0:00,1/16/2020 0:00,1/17/2020 0:00,38.5,37.25,37.94,-5.65,24000,26,13
Nepool MH DA LMP Peak,1/15/2020 0:00,1/16/2020 0:00,1/16/2020 0:00,36,32.5,34.95,7.52,51200,62,23
Mid C Peak,1/15/2020 0:00,1/16/2020 0:00,1/17/2020 0:00,31.75,29.5,30.36,-4.33,24000,30,11
PJM WH Real Time Peak,1/15/2020 0:00,1/16/2020 0:00,1/16/2020 0:00,25,25,25,2.96,1600,2,4
PJM WH Real Time Peak,1/16/2020 0:00,1/17/2020 0:00,1/17/2020 0:00,28.25,27,27.45,2.45,12800,15,14
SP15 EZ Gen DA LMP Peak,1/16/2020 0:00,1/18/2020 0:00,1/18/2020 0:00,30.5,30,30.19,-7.75,4800,12,7
Palo Verde Peak,1/16/2020 0:00,1/18/2020 0:00,1/18/2020 0:00,17,16,16.32,-3.46,6000,15,8
Nepool MH DA LMP Peak,1/16/2020 0:00,1/17/2020 0:00,1/17/2020 0:00,60,54,56.71,21.76,80800,93,25
Mid C Peak,1/16/2020 0:00,1/18/2020 0:00,1/18/2020 0:00,25.5,23.75,24.15,-6.21,13600,34,14
Palo Verde Peak,1/17/2020 0:00,1/20/2020 0:00,1/21/2020 0:00,20,15,17.52,1.2,12800,16,10
Nepool MH DA LMP Peak,1/17/2020 0:00,1/20/2020 0:00,1/20/2020 0:00,45.5,45.5,45.5,-11.21,800,1,2
Mid C Peak,1/17/2020 0:00,1/20/2020 0:00,1/21/2020 0:00,26,24,25.33,1.18,35200,43,20
Indiana Hub RT Peak,1/17/2020 0:00,1/20/2020 0:00,1/20/2020 0:00,33,32,32.6,-2.2,4000,5,4
PJM WH Real Time Peak,1/17/2020 0:00,1/20/2020 0:00,1/20/2020 0:00,32.5,29.5,31.25,3.8,19200,24,20
SP15 EZ Gen DA LMP Peak,1/17/2020 0:00,1/20/2020 0:00,1/21/2020 0:00,34.25,33.5,33.9,3.71,11200,11,7
PJM WH Real Time Peak,1/20/2020 0:00,1/21/2020 0:00,1/21/2020 0:00,30.5,30.5,30.5,-0.75,800,1,2
Mid C Peak,1/21/2020 0:00,1/22/2020 0:00,1/22/2020 0:00,23.75,21,21.87,-3.46,31200,78,23
PJM WH Real Time Peak,1/21/2020 0:00,1/22/2020 0:00,1/22/2020 0:00,25.55,25.25,25.49,-5.01,13600,17,16
SP15 EZ Gen DA LMP Peak,1/21/2020 0:00,1/22/2020 0:00,1/22/2020 0:00,31.5,31,31.09,-2.81,5600,12,8
Nepool MH DA LMP Peak,1/21/2020 0:00,1/22/2020 0:00,1/22/2020 0:00,35,29,30.67,-14.83,35200,35,15
Palo Verde Peak,1/21/2020 0:00,1/22/2020 0:00,1/22/2020 0:00,18,16,16.83,-0.69,6400,16,8
Nepool MH DA LMP Peak,1/22/2020 0:00,1/23/2020 0:00,1/23/2020 0:00,24.5,23,23.79,-6.88,48800,56,13
Mid C Peak,1/22/2020 0:00,1/23/2020 0:00,1/23/2020 0:00,19,16.5,17.66,-4.21,26800,67,19
PJM WH Real Time Peak,1/22/2020 0:00,1/23/2020 0:00,1/23/2020 0:00,26,23.5,24.79,-0.7,43200,53,27
SP15 EZ Gen DA LMP Peak,1/22/2020 0:00,1/23/2020 0:00,1/23/2020 0:00,31.25,30,30.34,-0.75,5600,13,7
Palo Verde Peak,1/22/2020 0:00,1/23/2020 0:00,1/23/2020 0:00,15.25,14.5,15.01,-1.82,10000,25,14
PJM WH Real Time Peak,1/23/2020 0:00,1/24/2020 0:00,1/24/2020 0:00,21.55,20.75,21.33,-3.46,8000,9,8
Nepool MH DA LMP Peak,1/23/2020 0:00,1/24/2020 0:00,1/24/2020 0:00,24,23.5,23.76,-0.03,4800,6,6
Palo Verde Peak,1/23/2020 0:00,1/24/2020 0:00,1/25/2020 0:00,12,9,10.28,-4.73,12000,15,11
SP15 EZ Gen DA LMP Peak,1/23/2020 0:00,1/24/2020 0:00,1/25/2020 0:00,26,25,25.3,-5.04,15200,16,12
Mid C Peak,1/23/2020 0:00,1/24/2020 0:00,1/25/2020 0:00,15.75,15,15.31,-2.35,45600,57,20
Palo Verde Peak,1/24/2020 0:00,1/27/2020 0:00,1/27/2020 0:00,15.5,15,15.23,4.95,10800,27,12
Mid C Peak,1/24/2020 0:00,1/27/2020 0:00,1/27/2020 0:00,20,17.75,18.74,3.43,29600,74,17
SP15 EZ Gen DA LMP Peak,1/24/2020 0:00,1/27/2020 0:00,1/27/2020 0:00,26.5,26,26.11,0.81,3600,6,6
PJM WH Real Time Peak,1/24/2020 0:00,1/27/2020 0:00,1/27/2020 0:00,23.5,23,23.29,1.96,5600,7,10
Nepool MH DA LMP Peak,1/27/2020 0:00,1/28/2020 0:00,1/28/2020 0:00,22.25,21.75,22.03,-1.73,25600,30,13
PJM WH Real Time Peak,1/27/2020 0:00,1/28/2020 0:00,1/28/2020 0:00,24,23.75,23.92,0.63,4000,5,5
Palo Verde Peak,1/27/2020 0:00,1/28/2020 0:00,1/28/2020 0:00,18,16.5,16.77,1.54,9600,24,11
SP15 EZ Gen DA LMP Peak,1/27/2020 0:00,1/28/2020 0:00,1/28/2020 0:00,27,27,27,0.89,1600,4,4
NP15 EZ Gen DA LMP Peak,1/27/2020 0:00,1/28/2020 0:00,1/28/2020 0:00,28,27.75,27.84,-11.16,1600,4,3
Mid C Peak,1/27/2020 0:00,1/28/2020 0:00,1/28/2020 0:00,18.75,15.75,17.43,-1.31,35200,88,18
PJM WH Real Time Peak,1/28/2020 0:00,1/29/2020 0:00,1/29/2020 0:00,26.25,25.75,25.88,1.96,3200,4,4
Palo Verde Peak,1/28/2020 0:00,1/29/2020 0:00,1/29/2020 0:00,17,16,16.49,-0.28,7600,19,12
Nepool MH DA LMP Peak,1/28/2020 0:00,1/29/2020 0:00,1/29/2020 0:00,25.5,24,24.93,2.9,66400,56,18
SP15 EZ Gen DA LMP Peak,1/28/2020 0:00,1/29/2020 0:00,1/29/2020 0:00,28.75,27.5,28.16,1.16,15200,24,9
Mid C Peak,1/28/2020 0:00,1/29/2020 0:00,1/29/2020 0:00,18.5,16,17.07,-0.36,34400,79,16
SP15 EZ Gen DA LMP Peak,1/29/2020 0:00,1/30/2020 0:00,1/31/2020 0:00,28,27,27.47,-0.69,23200,27,10
Mid C Peak,1/29/2020 0:00,1/30/2020 0:00,1/31/2020 0:00,16.75,14,14.94,-2.13,19200,24,17
PJM WH Real Time Peak,1/29/2020 0:00,1/30/2020 0:00,1/30/2020 0:00,25.75,25.5,25.7,-0.18,8800,11,9
Palo Verde Peak,1/29/2020 0:00,1/30/2020 0:00,1/31/2020 0:00,15,10,12.5,-3.99,14400,17,11
Nepool MH DA LMP Peak,1/29/2020 0:00,1/30/2020 0:00,1/30/2020 0:00,26.25,24.5,25.69,0.76,47200,48,17
SP15 EZ Gen DA LMP Peak,1/30/2020 0:00,2/1/2020 0:00,2/1/2020 0:00,25,24.5,24.75,-2.72,2400,5,2
Palo Verde Peak,1/30/2020 0:00,2/1/2020 0:00,2/1/2020 0:00,12.5,11.5,11.97,-0.53,7600,18,13
PJM WH Real Time Peak,1/30/2020 0:00,1/31/2020 0:00,1/31/2020 0:00,25.25,24.15,24.69,-1.01,14400,18,13
Nepool MH DA LMP Peak,1/30/2020 0:00,1/31/2020 0:00,1/31/2020 0:00,22.5,22,22.12,-3.57,12000,14,9
Mid C Peak,1/30/2020 0:00,2/1/2020 0:00,2/1/2020 0:00,18,13.5,14.66,-0.28,31600,79,21
Mid C Peak,1/31/2020 0:00,2/3/2020 0:00,2/3/2020 0:00,27,22.75,24.95,10.29,31200,78,18
PJM WH Real Time Peak,1/31/2020 0:00,2/3/2020 0:00,2/3/2020 0:00,21,20.85,20.98,-3.71,12000,14,12
Nepool MH DA LMP Peak,1/31/2020 0:00,2/3/2020 0:00,2/3/2020 0:00,22,21,21.81,-0.31,10400,9,9
SP15 EZ Gen DA LMP Peak,1/31/2020 0:00,2/3/2020 0:00,2/3/2020 0:00,29,28,28.45,3.7,20800,48,15
Palo Verde Peak,1/31/2020 0:00,2/3/2020 0:00,2/3/2020 0:00,16.5,14.25,14.99,3.02,7600,18,11
Nepool MH DA LMP Peak,2/3/2020 0:00,2/4/2020 0:00,2/4/2020 0:00,23.55,23,23.26,1.45,30400,30,17
PJM WH Real Time Peak,2/3/2020 0:00,2/4/2020 0:00,2/4/2020 0:00,19.75,19,19.25,-1.73,20000,25,18
NP15 EZ Gen DA LMP Peak,2/3/2020 0:00,2/4/2020 0:00,2/4/2020 0:00,32,30,31.33,3.49,1200,3,4
SP15 EZ Gen DA LMP Peak,2/3/2020 0:00,2/4/2020 0:00,2/4/2020 0:00,34.5,32.25,32.99,4.54,10800,27,11
Mid C Peak,2/3/2020 0:00,2/4/2020 0:00,2/4/2020 0:00,23,18,21.99,-2.96,16800,42,15
Palo Verde Peak,2/3/2020 0:00,2/4/2020 0:00,2/4/2020 0:00,21,19,20,5.01,2400,6,6
Palo Verde Peak,2/4/2020 0:00,2/5/2020 0:00,2/5/2020 0:00,26,20,22.8,2.8,2000,5,5
Mid C Peak,2/4/2020 0:00,2/5/2020 0:00,2/5/2020 0:00,19,14.75,16.18,-5.81,24800,60,19
SP15 EZ Gen DA LMP Peak,2/4/2020 0:00,2/5/2020 0:00,2/5/2020 0:00,34.5,32,32.49,-0.5,25600,60,15
PJM WH Real Time Peak,2/4/2020 0:00,2/5/2020 0:00,2/5/2020 0:00,23,22.5,22.75,3.5,24000,29,20
Nepool MH DA LMP Peak,2/4/2020 0:00,2/5/2020 0:00,2/5/2020 0:00,25.5,25,25.15,1.89,30400,33,14
NP15 EZ Gen DA LMP Peak,2/4/2020 0:00,2/5/2020 0:00,2/5/2020 0:00,30,30,30,-1.33,3600,9,6
Palo Verde Peak,2/5/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,19,17.25,18.34,-4.46,3200,8,8
PJM WH Real Time Peak,2/5/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,22,21.25,21.37,-1.38,18400,18,14
Nepool MH DA LMP Peak,2/5/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,25.5,24.75,25.29,0.14,42400,33,19
Mid C Peak,2/5/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,15.5,13.5,14.6,-1.58,22800,55,19
SP15 EZ Gen DA LMP Peak,2/5/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,29.5,29,29.29,-3.2,2800,7,7
Nepool MH DA LMP Peak,2/6/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,27.5,26.5,26.89,1.6,30400,28,14
PJM WH Real Time Peak,2/6/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,23.2,22.75,22.98,1.61,6400,7,8
SP15 EZ Gen DA LMP Peak,2/6/2020 0:00,2/7/2020 0:00,2/8/2020 0:00,25,24.5,24.93,-4.36,13600,17,6
Palo Verde Peak,2/6/2020 0:00,2/7/2020 0:00,2/8/2020 0:00,17,9,11.96,-6.38,14400,18,12
Mid C Peak,2/6/2020 0:00,2/7/2020 0:00,2/8/2020 0:00,15,13,13.67,-0.93,41600,52,17
PJM WH Real Time Peak,2/7/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,22.95,22.5,22.69,-0.29,4000,5,6
NP15 EZ Gen DA LMP Peak,2/7/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,30.5,30,30.28,0.28,1600,4,3
Palo Verde Peak,2/7/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,17,14,14.87,2.91,6000,15,11
SP15 EZ Gen DA LMP Peak,2/7/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,31,29,30.27,5.34,22000,44,12
Nepool MH DA LMP Peak,2/7/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,29,28.5,28.91,2.02,6400,7,7
Mid C Peak,2/7/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,20.5,19.5,19.92,6.25,34000,84,19
Mid C Peak,2/10/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,20,13,15.01,-4.91,24800,62,17
SP15 EZ Gen DA LMP Peak,2/10/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,29.5,28.5,28.77,-1.5,12800,25,12
PJM WH Real Time Peak,2/10/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,21.5,21,21.14,-1.55,8800,11,13
Palo Verde Peak,2/10/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,19.75,17.25,18.95,4.08,4400,11,8
Nepool MH DA LMP Peak,2/10/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,24.5,24,24.09,-4.82,15200,13,9
NP15 EZ Gen DA LMP Peak,2/10/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,28,28,28,-2.28,400,1,2
PJM WH Real Time Peak,2/11/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,22.75,22.5,22.66,1.52,3200,4,7
SP15 EZ Gen DA LMP Peak,2/11/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,29,28,28.17,-0.6,7600,15,9
Mid C Peak,2/11/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,17,15,16.03,1.02,20400,51,15
Nepool MH DA LMP Peak,2/11/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,24.5,23,23.68,-0.41,55200,44,18
Palo Verde Peak,2/11/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,19.5,17.5,17.85,-1.1,6800,15,12
Palo Verde Peak,2/12/2020 0:00,2/13/2020 0:00,2/14/2020 0:00,18,17.5,17.89,0.04,11200,14,9
PJM WH Real Time Peak,2/12/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,20.75,20,20.52,-2.14,30400,38,15
Mid C Peak,2/12/2020 0:00,2/13/2020 0:00,2/14/2020 0:00,13.5,12.25,13.03,-3,36800,46,16
Nepool MH DA LMP Peak,2/12/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,28.5,26.75,27.16,3.48,48800,51,20
SP15 EZ Gen DA LMP Peak,2/12/2020 0:00,2/13/2020 0:00,2/14/2020 0:00,27,27,27,-1.17,8800,11,7
Mid C Peak,2/13/2020 0:00,2/15/2020 0:00,2/15/2020 0:00,13.25,11.25,12.27,-0.76,28400,69,15
Palo Verde Peak,2/13/2020 0:00,2/15/2020 0:00,2/15/2020 0:00,13,12,12.47,-5.42,6400,16,14
SP15 EZ Gen DA LMP Peak,2/13/2020 0:00,2/15/2020 0:00,2/15/2020 0:00,23,22,22.43,-4.57,8400,21,9
PJM WH Real Time Peak,2/13/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,29,28,28.67,8.15,12800,16,13
Nepool MH DA LMP Peak,2/13/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,38,32.75,33.93,6.77,53600,49,23
Nepool MH DA LMP Peak,2/14/2020 0:00,2/17/2020 0:00,2/17/2020 0:00,24.5,23.75,23.83,-10.1,15200,10,7
SP15 EZ Gen DA LMP Peak,2/14/2020 0:00,2/17/2020 0:00,2/18/2020 0:00,28.5,27.5,27.8,5.37,8800,9,8
Palo Verde Peak,2/14/2020 0:00,2/17/2020 0:00,2/18/2020 0:00,18.25,18,18.04,5.57,5600,7,6
Mid C Peak,2/14/2020 0:00,2/17/2020 0:00,2/18/2020 0:00,21,17,17.54,5.27,43200,50,15
Nepool MH DA LMP Peak,2/17/2020 0:00,2/18/2020 0:00,2/18/2020 0:00,27.5,26.75,27.1,3.27,16000,20,5
PJM WH Real Time Peak,2/17/2020 0:00,2/18/2020 0:00,2/18/2020 0:00,21,20.5,20.67,-8,7200,9,8
PJM WH Real Time Peak,2/18/2020 0:00,2/19/2020 0:00,2/19/2020 0:00,23,22.5,22.58,1.91,10400,12,15
Nepool MH DA LMP Peak,2/18/2020 0:00,2/19/2020 0:00,2/19/2020 0:00,23.5,22.75,22.86,-4.24,48000,45,11
Palo Verde Peak,2/18/2020 0:00,2/19/2020 0:00,2/19/2020 0:00,17.5,15.5,16.13,-1.91,8000,20,14
Indiana Hub RT Peak,2/18/2020 0:00,2/19/2020 0:00,2/19/2020 0:00,24.1,24,24.05,-8.55,1600,2,3
SP15 EZ Gen DA LMP Peak,2/18/2020 0:00,2/19/2020 0:00,2/19/2020 0:00,29,28.5,28.93,1.13,16800,30,13
Mid C Peak,2/18/2020 0:00,2/19/2020 0:00,2/19/2020 0:00,29.25,25,27.52,9.98,15200,38,18
Mid C Peak,2/19/2020 0:00,2/20/2020 0:00,2/20/2020 0:00,27.5,26,26.28,-1.24,16800,42,15
Palo Verde Peak,2/19/2020 0:00,2/20/2020 0:00,2/20/2020 0:00,19,17,17.69,1.56,6800,17,11
PJM WH Real Time Peak,2/19/2020 0:00,2/20/2020 0:00,2/20/2020 0:00,27.75,26,26.7,4.12,33600,40,22
Nepool MH DA LMP Peak,2/19/2020 0:00,2/20/2020 0:00,2/20/2020 0:00,28,26.75,27.42,4.56,42400,36,16
Mid C Peak,2/20/2020 0:00,2/21/2020 0:00,2/22/2020 0:00,21,18.5,19.55,-6.73,56800,70,20
Palo Verde Peak,2/20/2020 0:00,2/21/2020 0:00,2/22/2020 0:00,16,15,15.59,-2.1,11200,14,11
PJM WH Real Time Peak,2/20/2020 0:00,2/21/2020 0:00,2/21/2020 0:00,25.6,25,25.29,-1.41,5600,7,9
SP15 EZ Gen DA LMP Peak,2/20/2020 0:00,2/21/2020 0:00,2/22/2020 0:00,25.5,25.25,25.45,-3.48,28000,27,13
Nepool MH DA LMP Peak,2/20/2020 0:00,2/21/2020 0:00,2/21/2020 0:00,26.5,25.5,26.3,-1.12,47200,50,15
PJM WH Real Time Peak,2/21/2020 0:00,2/24/2020 0:00,2/24/2020 0:00,20,20,20,-5.29,2400,3,4
Palo Verde Peak,2/21/2020 0:00,2/24/2020 0:00,2/24/2020 0:00,15.5,13,14.29,-1.3,4800,12,13
Mid C Peak,2/21/2020 0:00,2/24/2020 0:00,2/24/2020 0:00,18,17,17.63,-1.92,6000,15,12
PJM WH Real Time Peak,2/24/2020 0:00,2/25/2020 0:00,2/25/2020 0:00,20,19.7,19.91,-0.09,6400,8,7
Nepool MH DA LMP Peak,2/24/2020 0:00,2/25/2020 0:00,2/25/2020 0:00,23,22.3,22.65,-3.65,11200,11,9
Mid C Peak,2/24/2020 0:00,2/25/2020 0:00,2/25/2020 0:00,25,20,22.58,4.95,24000,59,17
Palo Verde Peak,2/24/2020 0:00,2/25/2020 0:00,2/25/2020 0:00,15,12,13.86,-0.43,7200,18,12
SP15 EZ Gen DA LMP Peak,2/24/2020 0:00,2/25/2020 0:00,2/25/2020 0:00,26,25,25.79,0.34,6800,13,13
Nepool MH DA LMP Peak,2/25/2020 0:00,2/26/2020 0:00,2/26/2020 0:00,23,21.75,22.11,-0.54,36000,28,13
Palo Verde Peak,2/25/2020 0:00,2/26/2020 0:00,2/26/2020 0:00,20,17.25,18,4.14,4400,10,10
Mid C Peak,2/25/2020 0:00,2/26/2020 0:00,2/26/2020 0:00,19.25,18.5,18.92,-3.66,16400,41,16
PJM WH Real Time Peak,2/25/2020 0:00,2/26/2020 0:00,2/26/2020 0:00,20.25,19.75,20.08,0.17,7200,9,9
Nepool MH DA LMP Peak,2/26/2020 0:00,2/27/2020 0:00,2/27/2020 0:00,21.75,21.25,21.36,-0.75,21600,23,14
SP15 EZ Gen DA LMP Peak,2/26/2020 0:00,2/27/2020 0:00,2/27/2020 0:00,27.5,27,27.13,1.34,10000,21,13
Palo Verde Peak,2/26/2020 0:00,2/27/2020 0:00,2/27/2020 0:00,18.5,16.25,18,0,4000,10,10
Mid C Peak,2/26/2020 0:00,2/27/2020 0:00,2/27/2020 0:00,22,19.5,20.17,1.25,20000,50,18
PJM WH Real Time Peak,2/26/2020 0:00,2/27/2020 0:00,2/27/2020 0:00,23,23,23,2.92,1600,2,3
Mid C Peak,2/27/2020 0:00,2/28/2020 0:00,2/29/2020 0:00,15.25,14.5,14.88,-5.29,6400,8,7
PJM WH Real Time Peak,2/27/2020 0:00,2/28/2020 0:00,2/28/2020 0:00,23.5,22.5,22.86,-0.14,7200,9,8
Nepool MH DA LMP Peak,2/27/2020 0:00,2/28/2020 0:00,2/28/2020 0:00,24.5,23.5,23.79,2.43,10400,13,9
SP15 EZ Gen DA LMP Peak,2/27/2020 0:00,2/28/2020 0:00,2/29/2020 0:00,24.75,24.25,24.58,-2.55,20800,25,13
Palo Verde Peak,2/27/2020 0:00,2/28/2020 0:00,2/29/2020 0:00,16,11.5,14.94,-3.06,7200,9,9
Mid C Peak,2/28/2020 0:00,3/2/2020 0:00,3/2/2020 0:00,18.5,17,17.81,2.93,24000,57,16
PJM WH Real Time Peak,2/28/2020 0:00,3/2/2020 0:00,3/2/2020 0:00,21.25,21.25,21.25,-1.61,2400,3,5
SP15 EZ Gen DA LMP Peak,2/28/2020 0:00,3/2/2020 0:00,3/2/2020 0:00,24.5,24.25,24.45,-0.13,4400,11,8
Palo Verde Peak,2/28/2020 0:00,3/2/2020 0:00,3/2/2020 0:00,21.95,18.5,19.35,4.41,4800,12,12
Mid C Peak,3/2/2020 0:00,3/3/2020 0:00,3/3/2020 0:00,16.5,15.25,15.93,-1.88,18400,46,17
PJM WH Real Time Peak,3/2/2020 0:00,3/3/2020 0:00,3/3/2020 0:00,20.5,20,20.39,-0.86,15200,18,13
