date,forecast,mean_se,lower_ci,upper_ci
2023-12-30,2.5759638013992565,0.5814357330163841,1.4363707053624972,3.7155568974360156
2023-12-31,2.572004292778007,0.720199664488066,1.1604388887035668,3.983569696852447
2024-01-01,2.5653505878128295,0.8146054557805201,0.9687532328731745,4.161947942752485
2024-01-02,2.572871886392968,0.8966248871205561,0.8155193999943866,4.33022437279155
2024-01-03,2.5699046905790612,0.9670687777464917,0.6744847156227674,4.465324665535356
2024-01-04,2.5705988632720485,1.022158099826917,0.5672058011053935,4.573991925438703
2024-01-05,2.5710029208224023,1.0826444220022142,0.44905884563487897,4.692946996009926
2024-01-06,2.5711320146599883,1.1407148084946943,0.33537207337888253,4.806891955941094
2024-01-07,2.5705394157285135,1.1956288507358397,0.2271499294092516,4.913928902047775
2024-01-08,2.5708539096191334,1.2483601314970663,0.12411301214919757,5.017594807089069
2024-01-09,2.570769993254275,1.2992046817962073,0.02437560838788766,5.117164378120663
2024-01-10,2.5707480302270427,1.3474649235029152,-0.07023469026969043,5.211730750723776
2024-01-11,2.570765868867086,1.3941429022157898,-0.1617040087780084,5.303235746512181
2024-01-12,2.5708012396863045,1.4393737933661144,-0.2503195556020774,5.391922034974686
2024-01-13,2.5707696868369765,1.483211811297041,-0.3362720447496428,5.477811418423595
2024-01-14,2.5707796522791964,1.5257942986727144,-0.4197222209358742,5.561281525494267
2024-01-15,2.570779966723685,1.567259287000339,-0.5009917902329035,5.642551723680274
2024-01-16,2.5707772676493073,1.607635978831486,-0.5801313511112021,5.721685886409817
2024-01-17,2.570776087739962,1.6470184379100348,-0.6573207324371255,5.798872907917049
2024-01-18,2.5707788010588133,1.685483171158391,-0.732707510959993,5.87426511307762
2024-01-19,2.570777612523533,1.723088634830779,-0.8064140539150828,5.947969278962148
2024-01-20,2.570777733745986,1.7598890705171986,-0.8785414612533948,6.0200969287453665
2024-01-21,2.5707779685390304,1.795937621389636,-0.9491950878651876,6.090751024943248
2024-01-22,2.570777919773274,1.8312766833543879,-1.0184584253292868,6.160014264875835
2024-01-23,2.5707777339828835,1.865946282844279,-1.0864097774782921,6.227965245444059
2024-01-24,2.5707778643694317,1.8999834492672112,-1.1531212674164872,6.294676996155351
2024-01-25,2.570777837772791,1.9334215365321585,-1.2186587407643321,6.360214416309914
2024-01-26,2.5707778223222673,1.9662909159569344,-1.2830815560815982,6.424637200726133
2024-01-27,2.570777835245788,1.9986198423049089,-1.3464450744589556,6.488000744950532
2024-01-28,2.570777843928794,2.030434112214492,-1.408799888993169,6.550355576850757
2024-01-29,2.5707778316390946,2.0617575140681814,-1.4701926407893748,6.611748304067564
2024-01-30,2.570777835735523,2.0926121032512293,-1.5306665202494996,6.672222191720546
2024-01-31,2.57077783639552,2.1230183277618617,-1.5902616245361805,6.73181729732722
2024-02-01,2.570777834959975,2.1529951690010503,-1.6490151551708103,6.790570825090761
2024-02-02,2.570777834921691,2.182560324768568,-1.7069617957107464,6.848517465554128
2024-02-03,2.570777835872522,2.2117303069998036,-1.7641339093628101,6.905689581107854
2024-02-04,2.5707778353560706,2.2405205486743767,-1.8205617466676292,6.962117417379771
2024-02-05,2.570777835380891,2.2689455051673035,-1.876273637631063,7.017829308392845
2024-02-06,2.570777835502098,2.297018738394102,-1.931296163563974,7.072851834568169
2024-02-07,2.5707778354538195,2.3247529897366723,-1.9856542973818723,7.127209968289511
2024-02-08,2.570777835398001,2.352160249950044,-2.0393715403708166,7.180927211166819
2024-02-09,2.570777835452136,2.379251819341512,-2.0924700406086267,7.234025711512899
2024-02-10,2.5707778354406896,2.406038361763621,-2.144970699037761,7.28652636991914
2024-02-11,2.5707778354324726,2.432529953877243,-2.1968932654818025,7.338448936346747
2024-02-12,2.5707778354394977,2.458736129566514,-2.248256425998278,7.389812096877273
2024-02-13,2.5707778354412243,2.4846659198370036,-2.299077881053388,7.440633551935837
2024-02-14,2.5707778354365303,2.5103278892471144,-2.3493744168742676,7.490930087747328
2024-02-15,2.5707778354384136,2.5357301689785734,-2.399161970271255,7.540717641148083
2024-02-16,2.5707778354387667,2.5608804869061945,-2.4484556876087717,7.590011358486305
2024-02-17,2.570777835438061,2.585786195058343,-2.497269978597154,7.638825649473276
2024-02-18,2.57077783543818,2.610454294733245,-2.545618565526888,7.687174236403248
2024-02-19,2.570777835438506,2.6348914594782546,-2.593514528311052,7.735070199188064
2024-02-20,2.5707778354382786,2.659104056175812,-2.6409703458106857,7.7825260166872425
2024-02-21,2.5707778354382924,2.683098164419125,-2.687997933808721,7.829553604685306
2024-02-22,2.57077783543835,2.7068795943390107,-2.734608679952502,7.876164350829202
2024-02-23,2.5707778354383213,2.7304539030330313,-2.780813475953241,7.922369146829883
2024-02-24,2.5707778354383053,2.7538264097301868,-2.8266227473081034,7.9681784181847135
2024-02-25,2.5707778354383275,2.777002209805879,-2.8720464807693378,8.013602151645992
2024-02-26,2.5707778354383217,2.799986187752723,-2.9170942497666204,8.058649920643264
2024-02-27,2.570777835438318,2.822783029201012,-2.961775237966541,8.103330908843176
2024-02-28,2.5707778354383217,2.845397232072264,-3.006098261133273,8.147653932009916
2024-02-29,2.5707778354383217,2.867833116941042,-3.050071787437365,8.19162745831401
2024-03-01,2.57077783543832,2.890094836672843,-3.093703956345622,8.235259627222263
2024-03-02,2.570777835438321,2.912186385398827,-3.1370025962112615,8.278558267087902
2024-03-03,2.570777835438321,2.9341116068823196,-3.179975240671971,8.321530911548614
2024-03-04,2.5707778354383204,2.9558742023267506,-3.222629143953172,8.364184814829812
