date,forecast,lower_ci,upper_ci
2021-12-08,95.59195795189265,14.599453757263193,174.6650471069388
2021-12-09,89.45397990225354,8.297649888902379,169.28544953600442
2021-12-10,97.82494731587127,17.16434342446362,187.75152788725882
2021-12-13,99.78448245752193,22.960634304193604,182.4375381197912
2021-12-14,103.54325356699337,25.33669448171039,180.6825304536729
2021-12-15,102.64525440797328,18.2749536861087,177.95313860271776
2021-12-16,94.56663213010243,12.532388571533938,171.74141270859624
2021-12-17,100.94651443757112,26.322199221126567,178.99104854081244
2021-12-20,96.97829764971746,12.482353839589974,176.10639901562072
2021-12-21,98.89118826201204,17.771479846476847,177.7725398280041
2021-12-22,96.26640529404993,21.856348817837915,176.94636741255437
2021-12-23,86.60894939368674,1.5882254326502063,162.4819135744271
2021-12-27,84.633238689531,0.19855069949019916,163.38231888222197
2021-12-28,86.00459005534356,6.500298617627555,164.35904972147657
2021-12-29,83.07247691555997,3.012971085613898,162.33097695050503
2021-12-30,73.33898167379544,-8.822255917086922,154.15261615585868
2021-12-31,78.46080996094766,-1.853600018536953,158.50720851914411
2022-01-03,73.14459376332404,-7.63882982044297,152.12415843203956
2022-01-04,75.38873557117263,-7.353113688165949,160.7067056542164
2022-01-05,73.45095714084603,-4.747254138947082,152.20400955168333
2022-01-06,64.80449994053126,-13.306389681074892,141.91054433776284
2022-01-07,71.08116857451013,-17.9348760885166,145.90041740013686
2022-01-10,69.30395164588549,-13.040203958215043,156.61033730141207
2022-01-11,72.65689753953615,-9.185484707333313,154.5059354048555
2022-01-12,71.74955161796127,-9.07003964668042,152.06776026994424
2022-01-13,64.03364564391049,-17.440684786102363,139.44806535684086
2022-01-14,71.11790938931662,-3.073048709003104,148.54382485631638
2022-01-17,70.9373955478308,-5.277597991505715,154.8709473005338
2022-01-18,74.52898173842043,-8.660497897761648,155.34766761857216
2022-01-19,73.71517340130757,-7.329446371750055,167.12075195876372
2022-01-20,65.9549197305584,-14.028104110676402,148.34248897499927
2022-01-21,72.8678997077605,-12.644500396417518,150.17191395691793
2022-01-24,71.56792127085967,-11.060919808881007,146.8781876517307
2022-01-25,74.64811634790549,-6.23430795666546,155.2913080932128
2022-01-26,73.2892418340504,-3.5361463639007313,153.9441275306747
2022-01-27,64.97228643734259,-15.804540026374168,140.24839862936426
2022-01-28,71.33853875151388,-8.642670190274888,149.86644050600844
2022-01-31,68.65453822891243,-16.962221730249237,145.87608012947263
2022-02-01,71.4136738577359,-7.634412576102227,144.9535233337402
2022-02-02,69.82441950623905,-9.776951819282294,146.85088946303847
2022-02-03,61.37521076008032,-17.45527837515009,143.53221636083137
2022-02-04,67.7112335305585,-10.947360731552738,138.6309396788626
2022-02-07,65.53375340863526,-18.88410033655642,151.56988034204565
2022-02-09,67.46483189273037,-15.81465937046271,146.1008025952722
2022-02-10,59.48563059707849,-19.986972507103115,139.91296294170658
2022-02-11,66.32923145525358,-16.602099292601107,145.41507653801094
2022-02-14,65.71343583570165,-14.772485860962625,139.97969248927637
2022-02-15,69.28843889347516,-7.011946307020899,150.73095574661127
2022-02-16,68.52926759523096,-10.414320799610055,146.9015048728693
2022-02-17,60.89321661840798,-19.855824784385476,142.13447455022612
2022-02-18,67.99457831390005,-4.423750775104273,145.64878483095956
2022-02-21,67.5415630265939,-13.380512923438488,144.733184559376
2022-02-22,70.95030136748439,-3.7512729399377602,152.50758018941033
2022-02-23,69.91491950068783,-12.108517763576806,149.8937876232445
2022-02-24,61.89745671020046,-14.514647012285504,136.55406827372198
2022-02-25,68.52061882845041,-11.764008243481923,152.38786335871853
2022-02-27,41.17537162269903,-41.27169205842608,119.264895798503
2022-02-28,66.1803517499294,-14.985884196897137,147.94376883152538
2022-03-01,68.8638361557627,-10.22373870347532,149.3137778867821
2022-03-02,67.08647260528437,-9.194306074056149,149.95389566797328
2022-03-03,58.331208225835276,-22.4509059046831,137.09491293532744
2022-03-04,64.2414698084379,-18.285472452222283,144.53873763970842
2022-03-07,60.109591129728535,-21.93630443065067,142.08585707357543
2022-03-08,62.37038713489436,-21.590897965558135,142.11894228239353
2022-03-09,60.28171444440507,-16.435341536868282,145.83351664198474
2022-03-10,51.33694221521229,-29.574305971990412,126.78887699972276
2022-03-11,57.186776593375725,-20.439875561977427,144.96679134626996
2022-03-14,53.67027562451869,-31.75732425887295,129.1538244248115
2022-03-15,56.39201609281746,-25.12286099238653,137.55142237082285
2022-03-16,54.87909342093864,-26.017450759895834,133.21378837454034
2022-03-17,46.612528414079634,-30.007645678528284,123.44643928450377
2022-03-18,53.228148687591144,-26.625125460579465,135.16270095761485
2022-03-21,52.357014722350286,-28.239689464348622,129.42040702571433
2022-03-22,56.01136252915175,-21.237506197963274,140.08400581665356
2022-04-04,62.39474599930962,-19.015369622494614,147.61875756017037
2022-04-05,66.32033369392742,-18.019963663320663,153.41965151807452
2022-04-06,65.8127015548652,-14.140967190474601,150.54701148494547
2022-04-07,58.34173662451526,-21.395436300586265,137.64393062904284
2022-04-08,65.53733267809905,-18.570023471564493,145.05970649007472
2022-04-11,65.12935688706145,-15.693869004918,147.9515282026868
2022-04-12,68.54172304761467,-15.472781493356687,147.20094778318241
2022-04-13,67.53780214486041,-5.297756254428186,149.0631786919143
2022-04-14,59.598727815049465,-19.866086277530453,145.4255229852054
