date,forecast,mean_se,lower_ci,upper_ci
2023-12-30,2.383086347045082,0.15164841018525294,2.085860924769229,2.680311769320935
2023-12-31,2.380408873053389,0.21192373190137984,1.9650459910573626,2.7957717550494157
2024-01-01,2.3777377510862943,0.2643392409907067,1.859642359043855,2.8958331431287334
2024-01-02,2.3787173480497024,0.3117767553399708,1.7676461363666036,2.9897885597328013
2024-01-03,2.3785798271512024,0.35150213911321043,1.6896482940005222,3.0675113603018827
2024-01-04,2.3785355252151574,0.38722789403016417,1.619582799106743,3.137488251323572
2024-01-05,2.3786535206814645,0.4199198323577636,1.5556257728661507,3.2016812684967784
2024-01-06,2.3786372903268966,0.45011113666318797,1.496435673426662,3.2608389072271313
2024-01-07,2.378639560473512,0.47841133328114765,1.4409705774466743,3.31630854350035
2024-01-08,2.3786463823763313,0.5051257506862213,1.388618103367579,3.3686746613850835
2024-01-09,2.378643274598166,0.5304913042624528,1.3388994241320786,3.4183871250642532
2024-01-10,2.3786434776334477,0.5547009218470674,1.2914496486220284,3.4658373066448673
2024-01-11,2.378643679434603,0.5778972218069666,1.2459859379271936,3.5113014209420124
2024-01-12,2.378643365507383,0.6001976265164671,1.2022776339286847,3.555009097086081
2024-01-13,2.3786434185324836,0.6216988687567981,1.1601360265398655,3.5971508105251018
2024-01-14,2.378643423422952,0.6424809203170353,1.1194039588474147,3.6378828879984892
2024-01-15,2.3786434049185217,0.6626114833281431,1.0799487618526986,3.6773380479843447
2024-01-16,2.3786434138557455,0.6821482518637109,1.0416574080859144,3.715629419625577
2024-01-17,2.3786434136250088,0.7011408478026557,1.004432603841924,3.7528542234080935
2024-01-18,2.3786434128042284,0.7196323639617193,0.9681898973298388,3.789096928278618
2024-01-19,2.3786434136358463,0.7376604846718173,0.9328554308607238,3.8244313964109686
2024-01-20,2.378643413480143,0.7552583937104738,0.8983641627860417,3.8589226641742442
2024-01-21,2.3786434134415266,0.7724554951801953,0.8646584632282905,3.8926283636547625
2024-01-22,2.37864341349432,0.7892779883133132,0.8316869826100004,3.9255998443786395
2024-01-23,2.3786434134700003,0.8057493367016544,0.7994037329677202,3.9578830939722804
2024-01-24,2.378643413469884,0.8218906523240752,0.7677673356845653,3.9895194912552023
2024-01-25,2.3786434134728838,0.8377210127249227,0.7367403994396149,4.020546427506153
2024-01-26,2.378643413470669,0.8532577253922822,0.7062890021712285,4.05099782477011
2024-01-27,2.378643413471087,0.8685165494821148,0.6763822565091424,4.080904570433032
2024-01-28,2.378643413471251,0.8835118830590973,0.6469919427622561,4.110294884180245
2024-01-29,2.3786434134710963,0.8982569222047717,0.6180921970859465,4.139194629856246
2024-01-30,2.3786434134711603,0.9127637969765641,0.5896592450050648,4.167627581937255
2024-01-31,2.378643413471163,0.9270436882117796,0.5616711724808958,4.19561565446143
2024-02-01,2.3786434134711527,0.94110692837505,0.5341077282549385,4.223179098687367
2024-02-02,2.3786434134711585,0.9549630890342057,0.5069501523989983,4.250336674543319
2024-02-03,2.3786434134711576,0.9686210570702962,0.48018102694626075,4.277105799996054
2024-02-04,2.378643413471157,0.9820891013458019,0.4537841452240785,4.303502681718236
2024-02-05,2.3786434134711576,0.995374931251753,0.4277443971036894,4.329542429838626
2024-02-06,2.3786434134711576,1.0084857483111296,0.40204766785941803,4.355239159082897
2024-02-07,2.3786434134711576,1.0214282918192965,0.37668074871506807,4.380606078227247
2024-02-08,2.3786434134711576,1.0342088793426176,0.35163125746809687,4.405655569474218
2024-02-09,2.3786434134711576,1.0468334427660113,0.32688756783770323,4.430399259104612
2024-02-10,2.3786434134711576,1.0593075604731457,0.30243874639280666,4.4548480805495085
2024-02-11,2.3786434134711576,1.0716364861546075,0.27827449608907084,4.479012330853244
2024-02-12,2.3786434134711576,1.0838251746661087,0.25438510558775107,4.502901721354564
2024-02-13,2.3786434134711576,1.0958783052977408,0.23076140364879594,4.526525423293519
2024-02-14,2.3786434134711576,1.10780030276421,0.20739471799073828,4.5498921089515765
2024-02-15,2.3786434134711576,1.1195953561830732,0.1842768380940405,4.573009988848275
2024-02-16,2.3786434134711576,1.1312674362717816,0.16139998149550472,4.5958868454468105
2024-02-17,2.3786434134711576,1.142820310963695,0.13875676318145036,4.618530063760865
2024-02-18,2.3786434134711576,1.1542575596171694,0.11634016773841127,4.6409466592039035
2024-02-19,2.3786434134711576,1.1655825859696132,0.09414352396365455,4.663143302978661
2024-02-20,2.3786434134711576,1.1767986299693918,0.07216048167507205,4.685126345267243
2024-02-21,2.3786434134711576,1.1879087786021554,0.05038499049196821,4.706901836450347
2024-02-22,2.3786434134711576,1.1989159758141068,0.02881128038581382,4.728475546556501
2024-02-23,2.3786434134711576,1.2098230316226084,0.007433843823782205,4.749852983118533
2024-02-24,2.3786434134711576,1.220632630494018,-0.013752580651505308,4.77103940759382
2024-02-25,2.3786434134711576,1.231347339059525,-0.03475302354474197,4.792039850487058
2024-02-26,2.3786434134711576,1.2419696132318214,-0.055572298356353134,4.812859125298669
2024-02-27,2.3786434134711576,1.2525018047785108,-0.07621501446614154,4.833501841408457
2024-02-28,2.3786434134711576,1.2629461674021003,-0.09668558904985325,4.853972415992168
2024-02-29,2.3786434134711576,1.273304862371098,-0.11698825811592473,4.87427508505824
2024-03-01,2.3786434134711576,1.2835799637420757,-0.1371270867405392,4.894413913682854
2024-03-02,2.3786434134711576,1.2937734632084301,-0.15710597857102204,4.914392805513337
2024-03-03,2.3786434134711576,1.3038872746079557,-0.17692868466052314,4.934215511602838
