date,forecast,lower_ci,upper_ci
2023-12-27,28.061390859574132,-26.40387519418296,82.52665691333122
2023-12-28,28.277240961150614,-40.54540625705785,97.09988817935907
2023-12-29,28.566599941257394,-52.44302435793408,109.57622424044887
2023-12-30,28.749614212120875,-61.88157447763264,119.38080290187439
2023-12-31,28.803313923044037,-69.4336604032234,127.04028824931146
2024-01-01,28.645362895088265,-75.1358308720655,132.42655666224204
2024-01-02,28.62748546931796,-81.21677799232988,138.47174893096582
2024-01-03,28.59117264532563,-86.93521435204809,144.11755964269935
2024-01-04,28.583484975935324,-92.52578221436772,149.69275216623836
2024-01-05,28.59244602023139,-97.96078161635049,155.14567365681327
2024-01-06,28.610853104326022,-103.22151335710174,160.4432195657538
2024-01-07,28.611104388172528,-108.20279325390155,165.4250020302466
2024-01-08,28.61441928701014,-113.0158201397456,170.2446587137659
2024-01-09,28.6130579819364,-117.65217345909008,174.8782894229629
2024-01-10,28.610979688351854,-122.14185736237567,179.36381673907937
2024-01-11,28.609326245881416,-126.50302910407802,183.72168159584086
2024-01-12,28.609590557562818,-130.75200638435274,187.9711874994784
2024-01-13,28.6094195907909,-134.88964201215913,192.10848119374094
2024-01-14,28.609813708557606,-138.92695293705103,196.14658035416622
2024-01-15,28.610060066901433,-142.8688859612595,200.0890060950624
2024-01-16,28.610158852705258,-146.72170365182234,203.94202135723287
2024-01-17,28.610091793438173,-150.4910986081582,207.71128219503453
2024-01-18,28.610083759244496,-154.18291511931847,211.40308263780747
2024-01-19,28.610023767135367,-157.8014907330577,215.02153826732845
2024-01-20,28.61000698217596,-161.35126217425324,218.57127613860513
2024-01-21,28.610007333644113,-164.8359641268697,222.05597879415794
2024-01-22,28.610018494109173,-168.2590287608387,225.47906574905704
2024-01-23,28.610021691683002,-171.62356474115808,228.84360812452405
2024-01-24,28.6100282254698,-174.9324997908099,232.1525562417495
2024-01-25,28.61002792609883,-178.1884791414526,235.40853499365028
2024-01-26,28.61002678695381,-181.3939790353159,238.6140326092235
2024-01-27,28.610025324605218,-184.55127932196382,241.77132997117423
2024-01-28,28.61002491708476,-187.66249447927166,244.88254431344117
2024-01-29,28.61002442412395,-190.72958318841677,247.9496320366647
2024-01-30,28.610024728860424,-193.7543731846623,250.97442264238316
2024-01-31,28.61002492244153,-196.73856585460592,253.958615699489
2024-02-01,28.610025076411176,-199.68375321612675,256.90380336894907
2024-02-02,28.61002509854333,-202.591425699362,259.81147589644866
2024-02-03,28.610025111771137,-205.4629815952922,262.6830318188345
2024-02-04,28.610025054344877,-208.29973409707821,265.51978420576796
2024-02-05,28.61002503413106,-211.10291900767785,268.32296907593997
2024-02-06,28.61002502204303,-213.87370044481082,271.0937504888969
2024-02-07,28.610025024831728,-216.6131768020548,273.8332268517182
2024-02-08,28.61002502807733,-219.3223857502534,276.5424358064081
2024-02-09,28.61002503544315,-222.00230890021354,279.2223589710998
2024-02-10,28.6100250365567,-224.65387590122535,281.87392597433876
2024-02-11,28.610025036997623,-227.27796826124364,284.4980183352389
2024-02-12,28.610025035995584,-229.87542273225972,287.0954728042509
2024-02-13,28.610025035295063,-232.44703444022713,289.66708451081723
2024-02-14,28.610025034591732,-234.9935597211408,292.21360979032426
2024-02-15,28.61002503467218,-237.51571872434764,294.735768793692
2024-02-16,28.610025034733667,-240.01419778695924,297.2342478564266
2024-02-17,28.61002503490574,-242.48965161925634,299.7097016890678
2024-02-18,28.610025034985544,-244.9427053065325,302.1627553765036
2024-02-19,28.61002503502927,-247.37395615327475,304.5940062233333
2024-02-20,28.61002503499543,-249.78397538109652,307.0040254510874
2024-02-21,28.610025034979277,-252.1733096963078,309.39335976626637
2024-02-22,28.61002503495802,-254.54248273773106,311.7625328076471
2024-02-23,28.61002503495327,-256.89199641695757,314.1120464868641
2024-02-24,28.610025034953456,-259.2223321598219,316.4423822297289
2024-02-25,28.610025034959367,-261.5339520582816,318.7540021282004
2024-02-26,28.610025034961456,-263.82729994025533,321.0473500101782
2024-02-27,28.610025034963392,-266.1028023645873,323.32285243451406
2024-02-28,28.610025034963112,-268.3608695473358,325.580919617262
2024-02-29,28.61002503496258,-270.6018962251768,327.82194629510195
2024-03-01,28.610025034961833,-272.8262624610137,330.04631253093737
2024-03-02,28.610025034961673,-275.0343343964789,332.25438446640226
2024-03-03,28.61002503496157,-277.22646495552897,334.4465150254521
2024-03-04,28.6100250349617,-279.40299450297493,336.6230445728984
2024-03-05,28.610025034961794,-281.5642514614157,338.7843015313393
2024-03-06,28.610025034961865,-283.71055288974856,340.9306029596722
2024-03-07,28.610025034961865,-285.8422050261379,343.0622550960617
2024-03-08,28.61002503496186,-287.95950379807755,345.1795538680012
2024-03-09,28.61002503496184,-290.06273530194903,347.2827853718727
2024-03-10,28.61002503496183,-292.1521762542798,349.3722263242035
2024-03-11,28.610025034961826,-294.22809441671274,351.4481444866364
2024-03-12,28.61002503496183,-296.2907489965376,353.5107990664613
2024-03-13,28.610025034961833,-298.3403910244786,355.5604410944023
2024-03-14,28.610025034961836,-300.377263711298,357.59731378122166
2024-03-15,28.610025034961836,-302.4016027846492,359.62165285457286
2024-03-16,28.610025034961836,-304.41363680750004,361.6336868774237
2024-03-17,28.610025034961836,-306.41358747934464,363.6336375492683
2024-03-18,28.610025034961836,-308.40166992132583,365.6217199912495
2024-03-19,28.610025034961836,-310.37809294630847,367.59814301623214
2024-03-20,28.610025034961836,-312.3430593148609,369.5631093847846
2024-03-21,28.610025034961836,-314.296765978035,371.5168160479587
2024-03-22,28.610025034961836,-316.2394043077657,373.4594543776894
